root@lamponubuntu2204-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 port 22
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
21:26:52.168487 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 591974390:591974498, ack 4106351621, win 902, options [nop,nop,TS val 4230642586 ecr 1280523551], length 108
21:26:52.168560 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 108:144, ack 1, win 902, options [nop,nop,TS val 4230642586 ecr 1280523551], length 36
21:26:52.168613 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 144:196, ack 1, win 902, options [nop,nop,TS val 4230642586 ecr 1280523551], length 52
21:26:52.168660 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 196:264, ack 1, win 902, options [nop,nop,TS val 4230642586 ecr 1280523551], length 68
21:26:52.168732 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 264:332, ack 1, win 902, options [nop,nop,TS val 4230642586 ecr 1280523551], length 68
21:26:52.168753 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 332:368, ack 1, win 902, options [nop,nop,TS val 4230642586 ecr 1280523551], length 36
21:26:52.174946 IP pool-99-252-115-234.cpe.net.cable.rogers.com.42082 > lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 0, win 4955, options [nop,nop,TS val 1280523570 ecr 4230642580], length 0
21:26:52.181395 IP pool-99-252-115-234.cpe.net.cable.rogers.com.42082 > lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 108, win 4955, options [nop,nop,TS val 1280523576 ecr 4230642586], length 0
21:26:52.181396 IP pool-99-252-115-234.cpe.net.cable.rogers.com.42082 > lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 196, win 4955, options [nop,nop,TS val 1280523576 ecr 4230642586], length 0
21:26:52.181396 IP pool-99-252-115-234.cpe.net.cable.rogers.com.42082 > lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 368, win 4955, options [nop,nop,TS val 1280523576 ecr 4230642586], length 0
21:26:52.269437 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 368:644, ack 1, win 902, options [nop,nop,TS val 4230642687 ecr 1280523576], length 276
