root@lamponubuntu2204-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
21:24:37.702593 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 591827350:591827402, ack 4106349265, win 902, options [nop,nop,TS val 4230508120 ecr 1280389088], length 52
21:24:37.703233 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 52:160, ack 1, win 902, options [nop,nop,TS val 4230508121 ecr 1280389088], length 108
21:24:37.703309 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 160:316, ack 1, win 902, options [nop,nop,TS val 4230508121 ecr 1280389088], length 156
21:24:37.703353 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 316:384, ack 1, win 902, options [nop,nop,TS val 4230508121 ecr 1280389088], length 68
21:24:37.703381 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 384:420, ack 1, win 902, options [nop,nop,TS val 4230508121 ecr 1280389088], length 36
21:24:37.719299 IP 99.252.115.234.42082 > 134.122.38.74.22: Flags [.], ack 160, win 5741, options [nop,nop,TS val 1280389111 ecr 4230508121], length 0
21:24:37.719299 IP 99.252.115.234.42082 > 134.122.38.74.22: Flags [.], ack 420, win 5740, options [nop,nop,TS val 1280389111 ecr 4230508121], length 0
21:24:37.802558 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 420:640, ack 1, win 902, options [nop,nop,TS val 4230508220 ecr 1280389111], length 220
21:24:37.802655 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 640:676, ack 1, win 902, options [nop,nop,TS val 4230508220 ecr 1280389111], length 36
21:24:37.802709 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 676:872, ack 1, win 902, options [nop,nop,TS val 4230508220 ecr 1280389111], length 196
21:24:37.802748 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 872:908, ack 1, win 902, options [nop,nop,TS val 4230508220 ecr 1280389111], length 36
21:24:37.802793 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 908:1112, ack 1, win 902, options [nop,nop,TS val 4230508220 ecr 1280389111], length 204
21:24:37.802904 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 1112:1148, ack 1, win 902, options [nop,nop,TS val 4230508220 ecr 1280389111], length 36
21:24:37.802975 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 1148:1344, ack 1, win 902, options [nop,nop,TS val 4230508220 ecr 1280389111], length 196
21:24:37.803003 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 1344:1380, ack 1, win 902, options [nop,nop,TS val 4230508220 ecr 1280389111], length 36
21:24:37.803041 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 1380:1576, ack 1, win 902, options [nop,nop,TS val 4230508220 ecr 1280389111], length 196
21:24:37.803067 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 1576:1612, ack 1, win 902, options [nop,nop,TS val 4230508220 ecr 1280389111], length 36
21:24:37.816387 IP 99.252.115.234.42082 > 134.122.38.74.22: Flags [.], ack 676, win 5739, options [nop,nop,TS val 1280389211 ecr 4230508220], length 0
21:24:37.816388 IP 99.252.115.234.42082 > 134.122.38.74.22: Flags [.], ack 1112, win 5737, options [nop,nop,TS val 1280389211 ecr 4230508220], length 0
21:24:37.816388 IP 99.252.115.234.42082 > 134.122.38.74.22: Flags [.], ack 1612, win 5735, options [nop,nop,TS val 1280389211 ecr 4230508220], length 0
21:24:37.816444 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 1612:2060, ack 1, win 902, options [nop,nop,TS val 4230508234 ecr 1280389211], length 448
21:24:37.829424 IP 99.252.115.234.42082 > 134.122.38.74.22: Flags [.], ack 2060, win 5732, options [nop,nop,TS val 1280389224 ecr 4230508234], length 0
21:24:37.906386 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 2060:2264, ack 1, win 902, options [nop,nop,TS val 4230508324 ecr 1280389224], length 204
21:24:37.906446 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 2264:2300, ack 1, win 902, options [nop,nop,TS val 4230508324 ecr 1280389224], length 36
21:24:37.906491 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 2300:2496, ack 1, win 902, options [nop,nop,TS val 4230508324 ecr 1280389224], length 196
21:24:37.906518 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 2496:2532, ack 1, win 902, options [nop,nop,TS val 4230508324 ecr 1280389224], length 36
21:24:37.906557 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 2532:2736, ack 1, win 902, options [nop,nop,TS val 4230508324 ecr 1280389224], length 204
21:24:37.906586 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 2736:2772, ack 1, win 902, options [nop,nop,TS val 4230508324 ecr 1280389224], length 36
21:24:37.906623 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 2772:2968, ack 1, win 902, options [nop,nop,TS val 4230508324 ecr 1280389224], length 196
21:24:37.906649 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 2968:3004, ack 1, win 902, options [nop,nop,TS val 4230508324 ecr 1280389224], length 36
21:24:37.906687 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 3004:3208, ack 1, win 902, options [nop,nop,TS val 4230508324 ecr 1280389224], length 204
21:24:37.906713 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 3208:3244, ack 1, win 902, options [nop,nop,TS val 4230508324 ecr 1280389224], length 36
21:24:37.906749 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 3244:3448, ack 1, win 902, options [nop,nop,TS val 4230508324 ecr 1280389224], length 204
21:24:37.906777 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 3448:3484, ack 1, win 902, options [nop,nop,TS val 4230508324 ecr 1280389224], length 36
21:24:37.906930 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 3484:3688, ack 1, win 902, options [nop,nop,TS val 4230508324 ecr 1280389224], length 204
21:24:37.906980 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 3688:3724, ack 1, win 902, options [nop,nop,TS val 4230508324 ecr 1280389224], length 36
21:24:37.907047 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 3724:3928, ack 1, win 902, options [nop,nop,TS val 4230508324 ecr 1280389224], length 204
